#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       9.061598e-04       1.044963e-04       4.680057e-04       5.878663e-02       4.183256e-03       1.124199e-02
         100       9.516900e-04       1.108208e-04       4.286632e-04       2.807717e-02       4.203901e-03       1.066631e-02
         200       1.011308e-03       2.513391e-04       5.822829e-04       2.665360e-02       3.864567e-03       1.057556e-02
         300       8.392682e-04       7.071634e-05       5.059067e-04       2.407017e-02       3.052125e-03       1.032582e-02
         400       7.017707e-04       1.733970e-04       3.834129e-04       5.331755e-02       4.120569e-03       1.092116e-02
         500       6.702683e-04       1.414773e-04       3.761690e-04       1.898529e-02       2.609526e-03       1.039506e-02
         600       6.629402e-04       1.962939e-04       4.359578e-04       2.994276e-02       3.458533e-03       1.074840e-02
         700       7.132026e-04       2.177281e-04       4.000253e-04       3.258326e-02       3.122823e-03       1.054194e-02
         800       9.823665e-04       1.210660e-04       4.856695e-04       2.297479e-02       4.912643e-03       1.034383e-02
         900       9.777864e-04       2.265583e-04       4.592036e-04       2.187922e-02       3.084881e-03       1.000286e-02
        1000       7.756622e-04       1.083275e-04       3.356469e-04       1.990411e-02       3.848892e-03       9.524602e-03
        1100       9.491535e-04       1.897190e-04       4.212805e-04       2.521384e-02       3.029681e-03       1.030531e-02
        1200       8.202244e-04       2.616213e-04       5.016201e-04       2.374051e-02       3.963704e-03       1.059289e-02
        1300       8.583761e-04       2.188734e-04       4.787131e-04       3.544500e-02       3.775103e-03       1.078082e-02
        1400       1.038614e-03       2.326733e-04       5.728508e-04       2.501455e-02       2.648492e-03       1.042263e-02
        1500       4.551728e-04       1.036107e-04       3.316584e-04       3.260416e-02       4.107239e-03       1.104193e-02
        1600       4.957731e-04       1.106138e-04       2.608229e-04       2.281537e-02       4.546360e-03       1.028130e-02
        1700       4.072743e-04       1.156223e-04       3.292548e-04       3.088166e-02       3.674611e-03       1.041026e-02
        1800       5.332167e-04       2.659097e-04       3.509881e-04       2.512026e-02       2.981644e-03       1.047351e-02
        1900       5.382901e-04       1.733955e-04       3.656396e-04       4.164504e-02       3.409476e-03       1.132815e-02
        2000       6.348206e-04       2.491769e-04       4.123547e-04       2.120927e-02       4.604480e-03       1.060340e-02
