#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 117800      4.17e-01    3.67e-01      2.32e-03    2.83e-03      4.26e-02    3.73e-02    9.4e-05
 117900      3.99e-01    3.93e-01      3.45e-04    4.32e-04      4.08e-02    4.02e-02    9.4e-05
 118000      3.92e-01    3.91e-01      8.80e-04    1.11e-03      4.01e-02    4.00e-02    9.4e-05
 118100      3.81e-01    3.82e-01      5.89e-04    1.38e-03      3.90e-02    3.90e-02    9.4e-05
 118200      3.87e-01    3.39e-01      3.47e-03    3.61e-03      3.93e-02    3.44e-02    9.4e-05
 118300      3.97e-01    3.61e-01      5.20e-03    5.06e-03      4.00e-02    3.63e-02    9.4e-05
 118400      3.99e-01    4.11e-01      4.72e-04    2.66e-05      4.08e-02    4.21e-02    9.4e-05
 118500      3.92e-01    4.16e-01      2.24e-03    2.73e-03      4.00e-02    4.25e-02    9.4e-05
 118600      4.03e-01    3.99e-01      4.11e-04    1.56e-05      4.13e-02    4.08e-02    9.4e-05
 118700      3.86e-01    3.97e-01      4.24e-03    3.95e-03      3.91e-02    4.03e-02    9.4e-05
 118800      4.04e-01    4.02e-01      3.76e-03    3.82e-03      4.11e-02    4.08e-02    9.4e-05
 118900      3.73e-01    3.81e-01      3.16e-04    7.73e-04      3.82e-02    3.90e-02    9.4e-05
 119000      3.93e-01    3.62e-01      2.65e-03    2.13e-03      4.00e-02    3.69e-02    9.4e-05
 119100      4.05e-01    3.89e-01      4.89e-03    5.46e-03      4.09e-02    3.91e-02    9.4e-05
 119200      3.87e-01    3.91e-01      2.40e-03    2.27e-03      3.95e-02    3.99e-02    9.4e-05
 119300      3.56e-01    3.87e-01      2.09e-04    2.73e-04      3.65e-02    3.96e-02    9.4e-05
 119400      3.71e-01    3.61e-01      5.00e-03    5.16e-03      3.74e-02    3.63e-02    9.4e-05
 119500      4.05e-01    3.38e-01      5.42e-04    7.60e-04      4.15e-02    3.46e-02    9.4e-05
 119600      4.08e-01    3.92e-01      1.53e-03    1.72e-03      4.17e-02    4.01e-02    9.4e-05
 119700      3.79e-01    3.76e-01      3.38e-04    3.94e-04      3.88e-02    3.85e-02    9.4e-05
 119800      3.75e-01    4.16e-01      2.79e-03    2.62e-03      3.82e-02    4.24e-02    9.4e-05
 119900      3.71e-01    3.90e-01      2.27e-03    2.82e-03      3.78e-02    3.97e-02    9.4e-05
 120000      3.47e-01    3.61e-01      4.46e-03    4.16e-03      3.68e-02    3.84e-02    8.5e-05
 120100      3.73e-01    3.45e-01      2.06e-03    2.25e-03      4.01e-02    3.70e-02    8.5e-05
 120200      4.01e-01    3.81e-01      1.25e-03    1.61e-03      4.31e-02    4.10e-02    8.5e-05
 120300      3.93e-01    3.59e-01      2.50e-04    2.93e-04      4.23e-02    3.87e-02    8.5e-05
 120400      3.82e-01    3.69e-01      3.87e-03    3.33e-03      4.07e-02    3.95e-02    8.5e-05
 120500      3.73e-01    3.55e-01      8.36e-04    1.20e-03      4.02e-02    3.82e-02    8.5e-05
 120600      3.84e-01    3.81e-01      2.74e-03    3.06e-03      4.12e-02    4.08e-02    8.5e-05
 120700      3.96e-01    3.78e-01      3.55e-03    3.94e-03      4.24e-02    4.03e-02    8.5e-05
 120800      3.72e-01    3.41e-01      1.41e-03    1.71e-03      4.00e-02    3.66e-02    8.5e-05
 120900      4.01e-01    3.49e-01      1.63e-03    1.88e-03      4.32e-02    3.75e-02    8.5e-05
 121000      3.66e-01    3.42e-01      7.98e-04    2.58e-04      3.95e-02    3.68e-02    8.5e-05
 121100      3.64e-01    3.78e-01      1.67e-03    1.73e-03      3.91e-02    4.06e-02    8.5e-05
 121200      3.67e-01    3.84e-01      2.14e-03    1.80e-03      3.94e-02    4.13e-02    8.5e-05
 121300      3.87e-01    3.45e-01      5.20e-03    5.47e-03      4.10e-02    3.63e-02    8.5e-05
 121400      3.97e-01    3.50e-01      4.52e-03    4.40e-03      4.22e-02    3.71e-02    8.5e-05
 121500      3.60e-01    3.57e-01      2.17e-04    3.79e-04      3.87e-02    3.85e-02    8.5e-05
 121600      4.04e-01    3.44e-01      1.96e-03    1.28e-03      4.34e-02    3.70e-02    8.5e-05
 121700      3.63e-01    3.50e-01      5.08e-04    3.81e-04      3.91e-02    3.77e-02    8.5e-05
 121800      3.92e-01    3.68e-01      1.22e-03    1.57e-03      4.22e-02    3.96e-02    8.5e-05
 121900      3.83e-01    3.55e-01      1.44e-03    1.26e-03      4.12e-02    3.82e-02    8.5e-05
 122000      3.49e-01    3.69e-01      4.71e-03    4.62e-03      3.70e-02    3.92e-02    8.5e-05
 122100      3.48e-01    3.76e-01      1.55e-03    2.12e-03      3.74e-02    4.03e-02    8.5e-05
 122200      3.81e-01    3.54e-01      2.98e-03    2.44e-03      4.08e-02    3.79e-02    8.5e-05
 122300      3.83e-01    3.84e-01      1.76e-04    9.28e-04      4.13e-02    4.14e-02    8.5e-05
 122400      3.65e-01    3.81e-01      3.79e-03    4.32e-03      3.89e-02    4.06e-02    8.5e-05
 122500      3.52e-01    3.51e-01      2.66e-04    1.67e-04      3.79e-02    3.78e-02    8.5e-05
 122600      3.80e-01    3.70e-01      6.92e-04    8.10e-04      4.09e-02    3.98e-02    8.5e-05
 122700      3.68e-01    3.82e-01      4.73e-03    5.11e-03      3.91e-02    4.05e-02    8.5e-05
 122800      3.60e-01    3.90e-01      2.24e-03    1.79e-03      3.86e-02    4.19e-02    8.5e-05
 122900      3.79e-01    3.43e-01      2.13e-03    2.52e-03      4.08e-02    3.68e-02    8.5e-05
 123000      3.83e-01    3.95e-01      4.47e-03    3.39e-03      4.07e-02    4.22e-02    8.5e-05
 123100      3.73e-01    3.62e-01      2.06e-03    2.35e-03      4.00e-02    3.88e-02    8.5e-05
 123200      3.58e-01    3.66e-01      8.81e-04    8.26e-04      3.86e-02    3.94e-02    8.5e-05
 123300      3.72e-01    3.50e-01      4.52e-04    2.69e-04      4.01e-02    3.77e-02    8.5e-05
 123400      3.81e-01    3.22e-01      3.90e-03    3.33e-03      4.06e-02    3.43e-02    8.5e-05
 123500      3.67e-01    3.88e-01      3.53e-04    2.32e-04      3.95e-02    4.18e-02    8.5e-05
 123600      3.71e-01    4.05e-01      7.00e-04    7.44e-04      3.99e-02    4.36e-02    8.5e-05
 123700      3.81e-01    3.71e-01      1.34e-03    1.66e-03      4.10e-02    3.99e-02    8.5e-05
 123800      3.62e-01    3.63e-01      7.63e-04    9.79e-04      3.90e-02    3.91e-02    8.5e-05
 123900      3.82e-01    3.89e-01      2.42e-03    2.14e-03      4.10e-02    4.18e-02    8.5e-05
 124000      3.94e-01    3.90e-01      5.92e-03    5.63e-03      4.16e-02    4.12e-02    8.5e-05
 124100      3.95e-01    3.86e-01      2.15e-03    2.68e-03      4.25e-02    4.14e-02    8.5e-05
 124200      3.80e-01    3.49e-01      1.63e-03    2.75e-03      4.09e-02    3.73e-02    8.5e-05
 124300      3.73e-01    3.50e-01      3.14e-03    3.17e-03      3.99e-02    3.75e-02    8.5e-05
 124400      3.73e-01    3.65e-01      3.32e-03    2.60e-03      3.99e-02    3.91e-02    8.5e-05
 124500      3.59e-01    3.62e-01      2.90e-03    2.49e-03      3.84e-02    3.88e-02    8.5e-05
 124600      3.53e-01    3.72e-01      3.04e-03    3.08e-03      3.78e-02    3.98e-02    8.5e-05
 124700      3.67e-01    3.65e-01      4.42e-03    4.66e-03      3.91e-02    3.87e-02    8.5e-05
 124800      3.89e-01    3.61e-01      8.15e-04    8.74e-04      4.19e-02    3.88e-02    8.5e-05
 124900      3.91e-01    3.86e-01      3.83e-03    3.35e-03      4.17e-02    4.13e-02    8.5e-05
 125000      3.41e-01    3.30e-01      9.15e-04    1.31e-03      3.87e-02    3.74e-02    7.7e-05
 125100      3.67e-01    3.65e-01      3.77e-03    3.96e-03      4.11e-02    4.10e-02    7.7e-05
 125200      3.61e-01    3.57e-01      2.69e-03    2.85e-03      4.07e-02    4.03e-02    7.7e-05
 125300      3.58e-01    3.44e-01      5.45e-04    2.75e-04      4.06e-02    3.89e-02    7.7e-05
 125400      3.62e-01    3.68e-01      6.25e-04    1.84e-04      4.10e-02    4.17e-02    7.7e-05
 125500      3.59e-01    3.50e-01      3.22e-03    3.47e-03      4.04e-02    3.93e-02    7.7e-05
 125600      3.63e-01    3.48e-01      2.25e-03    2.82e-03      4.10e-02    3.92e-02    7.7e-05
 125700      3.61e-01    3.35e-01      1.53e-03    1.57e-03      4.08e-02    3.79e-02    7.7e-05
 125800      3.76e-01    3.65e-01      7.00e-04    6.08e-04      4.25e-02    4.13e-02    7.7e-05
 125900      3.46e-01    3.18e-01      4.88e-04    9.55e-04      3.92e-02    3.60e-02    7.7e-05
 126000      3.41e-01    3.50e-01      1.45e-04    1.84e-04      3.86e-02    3.96e-02    7.7e-05
 126100      3.52e-01    3.72e-01      3.91e-04    9.79e-05      3.99e-02    4.22e-02    7.7e-05
 126200      3.50e-01    3.50e-01      6.81e-04    1.09e-03      3.96e-02    3.96e-02    7.7e-05
 126300      3.57e-01    3.53e-01      3.54e-04    4.18e-04      4.04e-02    4.00e-02    7.7e-05
 126400      3.54e-01    3.47e-01      1.27e-03    1.40e-03      4.01e-02    3.92e-02    7.7e-05
 126500      3.56e-01    3.55e-01      3.77e-04    3.17e-04      4.03e-02    4.03e-02    7.7e-05
 126600      3.45e-01    3.63e-01      2.22e-03    1.63e-03      3.89e-02    4.10e-02    7.7e-05
 126700      3.59e-01    3.47e-01      2.63e-03    2.72e-03      4.05e-02    3.91e-02    7.7e-05
 126800      3.64e-01    3.41e-01      6.34e-04    1.21e-04      4.13e-02    3.86e-02    7.7e-05
 126900      3.56e-01    3.41e-01      2.09e-03    2.09e-03      4.02e-02    3.85e-02    7.7e-05
 127000      3.52e-01    3.47e-01      5.30e-04    9.32e-04      3.99e-02    3.93e-02    7.7e-05
 127100      3.42e-01    3.13e-01      2.57e-04    3.41e-04      3.87e-02    3.55e-02    7.7e-05
 127200      3.39e-01    3.16e-01      3.52e-04    4.77e-04      3.84e-02    3.58e-02    7.7e-05
 127300      3.41e-01    3.39e-01      1.69e-03    1.68e-03      3.86e-02    3.83e-02    7.7e-05
 127400      3.47e-01    3.33e-01      3.28e-04    6.86e-04      3.93e-02    3.77e-02    7.7e-05
 127500      3.38e-01    3.40e-01      2.54e-03    2.22e-03      3.81e-02    3.83e-02    7.7e-05
 127600      3.52e-01    3.59e-01      5.56e-03    5.28e-03      3.90e-02    3.99e-02    7.7e-05
 127700      3.60e-01    3.69e-01      2.62e-04    2.03e-04      4.08e-02    4.18e-02    7.7e-05
 127800      3.50e-01    3.31e-01      1.85e-03    2.38e-03      3.95e-02    3.73e-02    7.7e-05
 127900      3.47e-01    3.34e-01      4.35e-03    4.02e-03      3.87e-02    3.73e-02    7.7e-05
 128000      3.59e-01    3.54e-01      5.39e-03    4.99e-03      3.99e-02    3.94e-02    7.7e-05
 128100      3.49e-01    3.30e-01      3.60e-03    3.78e-03      3.91e-02    3.69e-02    7.7e-05
 128200      3.85e-01    3.53e-01      2.87e-03    2.50e-03      4.34e-02    3.98e-02    7.7e-05
 128300      3.49e-01    3.52e-01      1.52e-03    1.05e-03      3.95e-02    3.99e-02    7.7e-05
 128400      3.33e-01    3.57e-01      6.54e-03    6.65e-03      3.64e-02    3.91e-02    7.7e-05
 128500      3.36e-01    3.60e-01      2.69e-03    2.87e-03      3.79e-02    4.05e-02    7.7e-05
 128600      3.55e-01    3.51e-01      4.40e-04    5.26e-04      4.02e-02    3.98e-02    7.7e-05
 128700      3.65e-01    3.40e-01      3.48e-04    4.31e-04      4.13e-02    3.86e-02    7.7e-05
 128800      3.63e-01    3.46e-01      9.33e-04    8.20e-04      4.11e-02    3.92e-02    7.7e-05
 128900      3.64e-01    3.28e-01      8.47e-04    9.81e-04      4.13e-02    3.71e-02    7.7e-05
 129000      3.52e-01    3.11e-01      3.36e-03    3.32e-03      3.96e-02    3.49e-02    7.7e-05
 129100      3.44e-01    3.45e-01      3.29e-03    2.50e-03      3.87e-02    3.90e-02    7.7e-05
 129200      3.63e-01    3.53e-01      3.75e-03    3.71e-03      4.07e-02    3.96e-02    7.7e-05
 129300      3.61e-01    3.58e-01      1.97e-03    2.06e-03      4.08e-02    4.05e-02    7.7e-05
 129400      3.39e-01    2.77e-01      2.32e-03    2.21e-03      3.83e-02    3.12e-02    7.7e-05
 129500      3.41e-01    3.46e-01      1.37e-03    1.01e-03      3.86e-02    3.92e-02    7.7e-05
 129600      3.53e-01    3.56e-01      2.77e-03    2.76e-03      3.97e-02    4.01e-02    7.7e-05
 129700      3.67e-01    3.33e-01      8.80e-04    4.64e-04      4.15e-02    3.77e-02    7.7e-05
 129800      3.53e-01    3.20e-01      2.61e-03    2.44e-03      3.98e-02    3.61e-02    7.7e-05
 129900      3.70e-01    3.58e-01      3.82e-03    4.27e-03      4.15e-02    4.01e-02    7.7e-05
 130000      3.30e-01    3.45e-01      1.53e-03    1.54e-03      3.93e-02    4.10e-02    6.9e-05
 130100      3.27e-01    3.21e-01      1.98e-03    1.97e-03      3.88e-02    3.82e-02    6.9e-05
 130200      3.47e-01    3.55e-01      2.20e-03    1.07e-03      4.12e-02    4.22e-02    6.9e-05
 130300      3.25e-01    3.34e-01      7.36e-04    5.00e-04      3.88e-02    3.97e-02    6.9e-05
 130400      3.43e-01    3.49e-01      2.53e-03    2.75e-03      4.07e-02    4.14e-02    6.9e-05
 130500      3.46e-01    3.30e-01      5.73e-03    4.43e-03      4.03e-02    3.86e-02    6.9e-05
 130600      3.28e-01    3.49e-01      3.64e-04    5.30e-04      3.91e-02    4.16e-02    6.9e-05
 130700      3.47e-01    3.18e-01      2.56e-03    2.66e-03      4.12e-02    3.76e-02    6.9e-05
 130800      3.27e-01    3.22e-01      1.34e-03    1.00e-03      3.89e-02    3.84e-02    6.9e-05
 130900      3.49e-01    3.50e-01      2.26e-03    2.31e-03      4.15e-02    4.16e-02    6.9e-05
 131000      3.26e-01    3.44e-01      1.19e-03    9.56e-04      3.88e-02    4.09e-02    6.9e-05
 131100      3.31e-01    3.24e-01      1.69e-03    1.24e-03      3.94e-02    3.86e-02    6.9e-05
 131200      3.21e-01    3.28e-01      1.71e-03    1.78e-03      3.82e-02    3.90e-02    6.9e-05
 131300      3.39e-01    3.36e-01      7.29e-04    2.64e-04      4.04e-02    4.00e-02    6.9e-05
 131400      3.28e-01    3.33e-01      3.50e-03    3.34e-03      3.87e-02    3.93e-02    6.9e-05
 131500      3.44e-01    3.40e-01      1.33e-03    1.65e-03      4.09e-02    4.05e-02    6.9e-05
 131600      3.23e-01    3.24e-01      1.38e-03    1.06e-03      3.84e-02    3.85e-02    6.9e-05
 131700      3.32e-01    3.14e-01      2.31e-04    2.65e-04      3.96e-02    3.74e-02    6.9e-05
 131800      3.40e-01    3.36e-01      9.85e-04    1.60e-03      4.05e-02    4.00e-02    6.9e-05
 131900      3.38e-01    3.24e-01      2.52e-03    2.90e-03      4.01e-02    3.83e-02    6.9e-05
 132000      3.37e-01    3.24e-01      5.40e-04    7.51e-04      4.01e-02    3.86e-02    6.9e-05
 132100      3.29e-01    3.17e-01      8.17e-04    7.90e-04      3.92e-02    3.77e-02    6.9e-05
 132200      3.39e-01    3.06e-01      2.38e-03    2.12e-03      4.02e-02    3.64e-02    6.9e-05
 132300      3.28e-01    3.55e-01      3.69e-04    1.68e-04      3.91e-02    4.23e-02    6.9e-05
 132400      3.16e-01    2.89e-01      6.48e-04    1.07e-03      3.76e-02    3.44e-02    6.9e-05
 132500      3.18e-01    3.17e-01      1.94e-03    2.35e-03      3.78e-02    3.76e-02    6.9e-05
 132600      3.23e-01    3.18e-01      5.18e-04    1.04e-03      3.84e-02    3.78e-02    6.9e-05
 132700      3.32e-01    3.57e-01      1.41e-03    1.15e-03      3.95e-02    4.26e-02    6.9e-05
 132800      3.54e-01    3.34e-01      2.70e-03    2.27e-03      4.20e-02    3.96e-02    6.9e-05
 132900      3.48e-01    3.28e-01      1.58e-03    1.60e-03      4.14e-02    3.90e-02    6.9e-05
 133000      3.24e-01    3.23e-01      1.16e-03    9.28e-04      3.86e-02    3.84e-02    6.9e-05
 133100      3.42e-01    3.65e-01      2.54e-03    2.63e-03      4.06e-02    4.33e-02    6.9e-05
 133200      3.62e-01    3.17e-01      1.73e-03    1.72e-03      4.30e-02    3.77e-02    6.9e-05
 133300      3.48e-01    3.05e-01      5.24e-04    4.78e-04      4.14e-02    3.64e-02    6.9e-05
 133400      3.40e-01    3.36e-01      3.71e-03    3.43e-03      4.00e-02    3.97e-02    6.9e-05
 133500      3.39e-01    3.08e-01      1.78e-03    1.70e-03      4.03e-02    3.66e-02    6.9e-05
 133600      3.42e-01    3.35e-01      1.91e-03    1.60e-03      4.07e-02    3.98e-02    6.9e-05
 133700      3.34e-01    3.37e-01      7.12e-04    3.09e-04      3.98e-02    4.02e-02    6.9e-05
 133800      3.39e-01    3.20e-01      2.42e-05    1.44e-04      4.05e-02    3.82e-02    6.9e-05
 133900      3.30e-01    3.22e-01      2.55e-03    2.79e-03      3.91e-02    3.81e-02    6.9e-05
 134000      3.26e-01    2.97e-01      1.49e-03    1.54e-03      3.88e-02    3.54e-02    6.9e-05
 134100      3.23e-01    3.09e-01      1.30e-03    2.14e-04      3.84e-02    3.68e-02    6.9e-05
 134200      3.41e-01    3.27e-01      2.71e-03    1.79e-03      4.05e-02    3.88e-02    6.9e-05
 134300      3.28e-01    3.33e-01      3.22e-04    5.20e-04      3.90e-02    3.97e-02    6.9e-05
 134400      3.53e-01    3.06e-01      2.21e-03    2.01e-03      4.19e-02    3.63e-02    6.9e-05
 134500      3.23e-01    3.16e-01      1.35e-03    1.89e-03      3.85e-02    3.76e-02    6.9e-05
 134600      3.40e-01    3.24e-01      5.73e-03    5.36e-03      3.95e-02    3.77e-02    6.9e-05
 134700      3.27e-01    3.28e-01      1.87e-03    2.06e-03      3.89e-02    3.89e-02    6.9e-05
 134800      3.38e-01    3.48e-01      1.24e-03    7.65e-04      4.03e-02    4.14e-02    6.9e-05
 134900      3.44e-01    3.26e-01      4.81e-04    6.49e-04      4.10e-02    3.89e-02    6.9e-05
 135000      3.22e-01    3.18e-01      4.21e-03    3.72e-03      3.97e-02    3.94e-02    6.3e-05
 135100      3.16e-01    3.11e-01      4.69e-03    4.74e-03      3.88e-02    3.82e-02    6.3e-05
 135200      3.38e-01    3.05e-01      2.11e-03    1.92e-03      4.22e-02    3.81e-02    6.3e-05
 135300      2.95e-01    3.05e-01      2.26e-04    4.27e-04      3.70e-02    3.83e-02    6.3e-05
 135400      3.41e-01    3.17e-01      3.67e-04    1.03e-05      4.27e-02    3.97e-02    6.3e-05
 135500      3.28e-01    3.04e-01      1.68e-03    6.70e-04      4.10e-02    3.82e-02    6.3e-05
 135600      3.14e-01    3.22e-01      3.92e-03    4.05e-03      3.89e-02    3.98e-02    6.3e-05
 135700      3.23e-01    3.17e-01      2.37e-03    2.72e-03      4.04e-02    3.95e-02    6.3e-05
 135800      3.13e-01    3.13e-01      2.80e-03    2.33e-03      3.90e-02    3.90e-02    6.3e-05
 135900      3.06e-01    3.22e-01      3.11e-03    3.12e-03      3.80e-02    4.00e-02    6.3e-05
 136000      3.22e-01    3.18e-01      1.88e-03    1.44e-03      4.02e-02    3.98e-02    6.3e-05
 136100      3.21e-01    2.92e-01      1.89e-03    1.93e-03      4.02e-02    3.65e-02    6.3e-05
 136200      3.10e-01    3.37e-01      1.09e-03    1.07e-03      3.89e-02    4.23e-02    6.3e-05
 136300      3.49e-01    3.38e-01      3.99e-03    2.65e-03      4.32e-02    4.21e-02    6.3e-05
 136400      3.21e-01    3.12e-01      2.61e-03    2.34e-03      4.00e-02    3.89e-02    6.3e-05
 136500      3.13e-01    3.23e-01      3.05e-04    5.94e-04      3.93e-02    4.05e-02    6.3e-05
 136600      3.17e-01    2.83e-01      1.90e-03    1.40e-03      3.97e-02    3.54e-02    6.3e-05
 136700      3.14e-01    3.04e-01      5.97e-04    8.71e-04      3.94e-02    3.81e-02    6.3e-05
 136800      3.15e-01    3.34e-01      2.38e-04    9.01e-04      3.95e-02    4.18e-02    6.3e-05
 136900      3.06e-01    3.14e-01      1.17e-03    1.16e-03      3.83e-02    3.93e-02    6.3e-05
 137000      3.23e-01    3.12e-01      1.91e-03    2.27e-03      4.04e-02    3.89e-02    6.3e-05
 137100      3.08e-01    3.38e-01      1.97e-03    2.99e-03      3.84e-02    4.21e-02    6.3e-05
 137200      3.20e-01    3.06e-01      9.63e-04    9.86e-04      4.01e-02    3.83e-02    6.3e-05
 137300      3.10e-01    3.11e-01      1.99e-03    1.50e-03      3.87e-02    3.89e-02    6.3e-05
 137400      3.01e-01    3.13e-01      9.28e-04    6.21e-04      3.77e-02    3.92e-02    6.3e-05
 137500      3.16e-01    3.04e-01      2.02e-03    1.90e-03      3.94e-02    3.80e-02    6.3e-05
 137600      3.27e-01    3.04e-01      8.87e-04    1.03e-03      4.09e-02    3.81e-02    6.3e-05
 137700      3.17e-01    3.33e-01      2.14e-03    1.81e-03      3.96e-02    4.16e-02    6.3e-05
 137800      3.21e-01    2.76e-01      1.62e-03    1.12e-03      4.02e-02    3.46e-02    6.3e-05
 137900      3.05e-01    3.02e-01      4.34e-04    4.16e-04      3.83e-02    3.78e-02    6.3e-05
 138000      3.02e-01    3.07e-01      1.82e-03    1.77e-03      3.78e-02    3.84e-02    6.3e-05
 138100      3.19e-01    3.01e-01      1.26e-03    5.06e-04      3.99e-02    3.77e-02    6.3e-05
 138200      3.20e-01    2.88e-01      6.97e-04    4.25e-04      4.01e-02    3.61e-02    6.3e-05
 138300      3.18e-01    3.02e-01      1.69e-03    2.24e-03      3.97e-02    3.76e-02    6.3e-05
 138400      3.14e-01    2.99e-01      1.14e-03    9.97e-04      3.93e-02    3.74e-02    6.3e-05
 138500      3.15e-01    3.25e-01      5.77e-04    8.56e-04      3.95e-02    4.08e-02    6.3e-05
 138600      3.33e-01    2.98e-01      2.08e-03    1.37e-03      4.15e-02    3.72e-02    6.3e-05
 138700      3.21e-01    3.03e-01      1.77e-03    8.45e-04      4.01e-02    3.80e-02    6.3e-05
 138800      3.11e-01    3.34e-01      9.95e-04    9.80e-04      3.89e-02    4.18e-02    6.3e-05
 138900      3.28e-01    3.04e-01      2.98e-03    2.75e-03      4.08e-02    3.78e-02    6.3e-05
 139000      3.19e-01    3.07e-01      1.79e-03    1.45e-03      3.98e-02    3.84e-02    6.3e-05
 139100      3.15e-01    3.03e-01      1.01e-03    2.93e-05      3.95e-02    3.79e-02    6.3e-05
 139200      3.14e-01    3.01e-01      2.93e-03    2.70e-03      3.91e-02    3.75e-02    6.3e-05
 139300      3.19e-01    3.38e-01      5.04e-03    4.74e-03      3.91e-02    4.16e-02    6.3e-05
 139400      3.22e-01    2.96e-01      7.85e-04    7.58e-04      4.03e-02    3.71e-02    6.3e-05
 139500      3.36e-01    3.13e-01      1.02e-03    3.17e-04      4.21e-02    3.92e-02    6.3e-05
 139600      3.19e-01    3.11e-01      2.30e-03    2.18e-03      3.98e-02    3.88e-02    6.3e-05
 139700      3.24e-01    3.29e-01      4.73e-03    4.23e-03      3.98e-02    4.06e-02    6.3e-05
 139800      3.25e-01    3.40e-01      5.34e-03    4.60e-03      3.97e-02    4.19e-02    6.3e-05
 139900      3.15e-01    3.27e-01      1.71e-03    2.32e-03      3.93e-02    4.09e-02    6.3e-05
 140000      2.96e-01    2.88e-01      2.16e-03    2.96e-03      3.89e-02    3.76e-02    5.7e-05
 140100      3.07e-01    2.92e-01      2.40e-03    2.37e-03      4.02e-02    3.83e-02    5.7e-05
 140200      2.88e-01    3.14e-01      4.86e-04    7.01e-04      3.80e-02    4.14e-02    5.7e-05
 140300      3.05e-01    2.96e-01      8.38e-04    6.18e-04      4.01e-02    3.89e-02    5.7e-05
 140400      3.04e-01    3.08e-01      1.58e-03    1.36e-03      4.00e-02    4.06e-02    5.7e-05
 140500      3.04e-01    2.91e-01      2.57e-03    2.41e-03      3.97e-02    3.82e-02    5.7e-05
 140600      3.09e-01    2.93e-01      1.24e-03    4.54e-04      4.07e-02    3.87e-02    5.7e-05
 140700      3.02e-01    2.95e-01      1.02e-03    1.41e-03      3.98e-02    3.89e-02    5.7e-05
 140800      3.02e-01    3.25e-01      2.11e-04    8.46e-06      3.99e-02    4.28e-02    5.7e-05
 140900      2.94e-01    3.14e-01      3.13e-03    2.64e-03      3.84e-02    4.12e-02    5.7e-05
 141000      2.97e-01    2.85e-01      2.16e-03    2.47e-03      3.90e-02    3.73e-02    5.7e-05
 141100      3.02e-01    3.10e-01      5.44e-04    6.98e-04      3.98e-02    4.09e-02    5.7e-05
 141200      2.83e-01    2.87e-01      1.37e-03    1.56e-03      3.73e-02    3.78e-02    5.7e-05
 141300      2.99e-01    2.98e-01      1.07e-03    1.12e-03      3.93e-02    3.93e-02    5.7e-05
 141400      2.87e-01    2.72e-01      2.95e-04    2.47e-04      3.79e-02    3.58e-02    5.7e-05
 141500      2.95e-01    3.10e-01      3.01e-03    2.40e-03      3.86e-02    4.07e-02    5.7e-05
 141600      2.97e-01    2.69e-01      3.18e-04    7.64e-04      3.92e-02    3.55e-02    5.7e-05
 141700      3.22e-01    2.64e-01      1.01e-03    1.74e-03      4.24e-02    3.47e-02    5.7e-05
 141800      2.78e-01    2.88e-01      1.71e-03    1.83e-03      3.66e-02    3.78e-02    5.7e-05
 141900      2.92e-01    3.21e-01      3.92e-03    3.63e-03      3.78e-02    4.18e-02    5.7e-05
 142000      3.19e-01    3.06e-01      1.27e-03    9.05e-04      4.20e-02    4.03e-02    5.7e-05
 142100      3.16e-01    2.92e-01      2.89e-04    5.81e-04      4.16e-02    3.85e-02    5.7e-05
 142200      3.03e-01    2.97e-01      1.14e-03    6.71e-04      3.99e-02    3.92e-02    5.7e-05
 142300      2.99e-01    3.02e-01      3.63e-03    3.38e-03      3.89e-02    3.94e-02    5.7e-05
 142400      3.01e-01    3.00e-01      1.47e-03    1.34e-03      3.96e-02    3.95e-02    5.7e-05
 142500      3.08e-01    3.01e-01      2.61e-03    2.46e-03      4.03e-02    3.95e-02    5.7e-05
 142600      3.01e-01    3.22e-01      2.95e-03    2.94e-03      3.93e-02    4.21e-02    5.7e-05
 142700      3.02e-01    2.98e-01      1.31e-03    1.70e-03      3.97e-02    3.92e-02    5.7e-05
 142800      3.06e-01    2.66e-01      2.63e-04    8.59e-04      4.03e-02    3.51e-02    5.7e-05
 142900      3.00e-01    3.07e-01      1.86e-03    2.43e-03      3.94e-02    4.03e-02    5.7e-05
 143000      3.09e-01    2.73e-01      3.75e-03    3.26e-03      4.02e-02    3.56e-02    5.7e-05
 143100      2.96e-01    2.89e-01      2.81e-03    2.54e-03      3.88e-02    3.79e-02    5.7e-05
 143200      2.89e-01    2.89e-01      3.17e-04    7.34e-04      3.81e-02    3.80e-02    5.7e-05
 143300      2.88e-01    2.97e-01      2.74e-04    5.86e-04      3.80e-02    3.91e-02    5.7e-05
 143400      3.05e-01    2.92e-01      2.05e-03    2.16e-03      4.00e-02    3.82e-02    5.7e-05
 143500      2.93e-01    3.03e-01      1.86e-03    1.39e-03      3.85e-02    3.99e-02    5.7e-05
 143600      3.02e-01    2.96e-01      2.00e-03    1.58e-03      3.96e-02    3.89e-02    5.7e-05
 143700      3.13e-01    2.38e-01      2.00e-03    1.56e-03      4.11e-02    3.13e-02    5.7e-05
 143800      2.94e-01    2.98e-01      3.22e-04    2.29e-04      3.88e-02    3.93e-02    5.7e-05
 143900      3.11e-01    3.19e-01      8.39e-04    9.73e-04      4.09e-02    4.20e-02    5.7e-05
 144000      3.26e-01    2.81e-01      2.84e-04    1.21e-04      4.30e-02    3.71e-02    5.7e-05
