#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   5900      2.32e+00    2.13e+00      1.47e-02    1.39e-02      7.73e-02    7.07e-02    9.0e-04
   6000      2.35e+00    2.04e+00      6.81e-03    7.38e-03      7.82e-02    6.80e-02    9.0e-04
   6100      2.41e+00    2.72e+00      2.10e-02    2.19e-02      8.03e-02    9.06e-02    9.0e-04
   6200      2.33e+00    2.32e+00      8.89e-03    7.09e-03      7.76e-02    7.71e-02    9.0e-04
   6300      2.56e+00    2.46e+00      3.02e-02    3.13e-02      8.50e-02    8.16e-02    9.0e-04
   6400      2.28e+00    2.45e+00      2.10e-02    2.07e-02      7.59e-02    8.13e-02    9.0e-04
   6500      2.51e+00    2.60e+00      1.54e-02    1.64e-02      8.36e-02    8.65e-02    9.0e-04
   6600      2.47e+00    2.09e+00      1.24e-03    3.02e-03      8.23e-02    6.96e-02    9.0e-04
   6700      2.40e+00    2.26e+00      2.12e-02    2.07e-02      7.97e-02    7.52e-02    9.0e-04
   6800      2.34e+00    2.19e+00      1.38e-02    1.44e-02      7.79e-02    7.29e-02    9.0e-04
   6900      2.56e+00    2.16e+00      1.54e-03    1.24e-03      8.53e-02    7.18e-02    9.0e-04
   7000      2.13e+00    2.22e+00      2.62e-02    2.68e-02      7.07e-02    7.38e-02    9.0e-04
   7100      2.40e+00    2.36e+00      3.68e-03    3.41e-03      7.99e-02    7.84e-02    9.0e-04
   7200      2.33e+00    2.20e+00      5.03e-03    5.31e-03      7.75e-02    7.31e-02    9.0e-04
   7300      2.58e+00    2.77e+00      4.95e-02    4.80e-02      8.54e-02    9.17e-02    9.0e-04
   7400      2.16e+00    2.23e+00      2.87e-02    2.89e-02      7.19e-02    7.42e-02    9.0e-04
   7500      2.21e+00    2.30e+00      1.97e-02    1.76e-02      7.35e-02    7.64e-02    9.0e-04
   7600      2.18e+00    2.16e+00      2.12e-03    1.68e-03      7.24e-02    7.21e-02    9.0e-04
   7700      2.29e+00    2.14e+00      3.33e-02    3.40e-02      7.61e-02    7.09e-02    9.0e-04
   7800      2.41e+00    2.36e+00      5.16e-02    5.02e-02      7.99e-02    7.83e-02    9.0e-04
   7900      2.67e+00    2.51e+00      1.10e-02    1.12e-02      8.88e-02    8.35e-02    9.0e-04
   8000      2.12e+00    2.08e+00      9.88e-03    7.18e-03      7.07e-02    6.93e-02    9.0e-04
   8100      2.23e+00    1.99e+00      1.41e-02    1.37e-02      7.43e-02    6.63e-02    9.0e-04
   8200      2.22e+00    2.19e+00      1.13e-02    1.21e-02      7.38e-02    7.28e-02    9.0e-04
   8300      2.50e+00    2.49e+00      2.90e-03    2.13e-03      8.31e-02    8.29e-02    9.0e-04
   8400      2.56e+00    2.58e+00      1.18e-02    1.14e-02      8.50e-02    8.59e-02    9.0e-04
   8500      2.29e+00    1.93e+00      1.41e-02    1.44e-02      7.62e-02    6.43e-02    9.0e-04
   8600      2.26e+00    2.14e+00      2.35e-02    2.29e-02      7.51e-02    7.11e-02    9.0e-04
   8700      2.24e+00    2.25e+00      3.53e-02    3.52e-02      7.43e-02    7.47e-02    9.0e-04
   8800      2.73e+00    2.75e+00      2.58e-02    2.54e-02      9.07e-02    9.16e-02    9.0e-04
   8900      2.15e+00    2.12e+00      1.87e-02    1.82e-02      7.15e-02    7.04e-02    9.0e-04
   9000      2.25e+00    2.34e+00      2.92e-02    3.02e-02      7.49e-02    7.78e-02    9.0e-04
   9100      2.04e+00    2.24e+00      1.98e-02    1.88e-02      6.78e-02    7.44e-02    9.0e-04
   9200      2.33e+00    2.28e+00      2.06e-02    2.11e-02      7.75e-02    7.59e-02    9.0e-04
   9300      2.30e+00    2.18e+00      7.08e-03    8.52e-03      7.67e-02    7.26e-02    9.0e-04
   9400      2.16e+00    2.00e+00      1.70e-02    1.71e-02      7.17e-02    6.65e-02    9.0e-04
